"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
380,"2021-01-01 00:12:53.6060","2021-01-01 00:19:14.2900",474,"5 Ave & E 29 St",40.7451677,-73.98683077,545,"E 23 St & 1 Ave",40.736502,-73.97809472,47463,"Subscriber",1968,2
363,"2021-01-01 00:12:57.9890","2021-01-01 00:19:01.3200",3641,"Broadway & W 25 St",40.74286877312112,-73.98918628692627,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,49429,"Subscriber",2003,2
569,"2021-01-01 00:13:00.3730","2021-01-01 00:22:30.1610",447,"8 Ave & W 52 St",40.76370739,-73.9851615,500,"Broadway & W 51 St",40.76228826,-73.98336183,39971,"Subscriber",1962,1
355,"2021-01-01 00:13:02.3480","2021-01-01 00:18:57.7120",3641,"Broadway & W 25 St",40.74286877312112,-73.98918628692627,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,36165,"Customer",1969,0
210,"2021-01-01 00:13:09.2080","2021-01-01 00:16:39.4380",3916,"Pearl St & Peck Slip",40.708485,-74.002751,3783,"Cliff St & Fulton St",40.70838,-74.00495,33871,"Customer",1969,0
1097,"2021-01-01 00:13:22.2850","2021-01-01 00:31:39.6180",3093,"N 6 St & Bedford Ave",40.71745169,-73.95850939,436,"Hancock St & Bedford Ave",40.68216564,-73.95399026,32176,"Subscriber",1992,1
371,"2021-01-01 00:13:23.1320","2021-01-01 00:19:34.5690",3641,"Broadway & W 25 St",40.74286877312112,-73.98918628692627,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,49759,"Subscriber",2002,2
463,"2021-01-01 00:13:30.4500","2021-01-01 00:21:14.1770",3987,"E 149 St & Jackson Ave",40.813135,-73.909235,3986,"E 149 St & Morris Ave",40.81734,-73.922962,25946,"Subscriber",1999,1
220,"2021-01-01 00:13:33.6360","2021-01-01 00:17:13.7140",3491,"E 118 St & 1 Ave",40.79747,-73.93504,3502,"Lexington Ave & E 111 St",40.7954121,-73.9441232,47374,"Customer",1969,0
516,"2021-01-01 00:13:34.0140","2021-01-01 00:22:10.3570",545,"E 23 St & 1 Ave",40.736502,-73.97809472,526,"E 33 St & 5 Ave",40.74765947,-73.98490707,47064,"Subscriber",1967,1
2215,"2021-01-01 00:13:38.7600","2021-01-01 00:50:34.0740",435,"W 21 St & 6 Ave",40.74173969,-73.99415556,334,"W 20 St & 7 Ave",40.74238787,-73.99726235,48480,"Customer",1996,1
2210,"2021-01-01 00:13:44.6980","2021-01-01 00:50:35.1900",435,"W 21 St & 6 Ave",40.74173969,-73.99415556,334,"W 20 St & 7 Ave",40.74238787,-73.99726235,34788,"Subscriber",1996,1
767,"2021-01-01 00:13:50.6080","2021-01-01 00:26:37.7190",4072,"W 48 St & Rockefeller Plaza",40.75793646243674,-73.97960275411606,3641,"Broadway & W 25 St",40.74286877312112,-73.98918628692627,29151,"Subscriber",1966,1
2150,"2021-01-01 00:13:58.8570","2021-01-01 00:49:49.3300",3664,"North Moore St & Greenwich St",40.72019521437465,-74.0103006362915,422,"W 59 St & 10 Ave",40.770513,-73.988038,45448,"Subscriber",1972,1
489,"2021-01-01 00:14:00.4220","2021-01-01 00:22:10.0930",447,"8 Ave & W 52 St",40.76370739,-73.9851615,3163,"Central Park West & W 68 St",40.7734066,-73.97782542,41947,"Subscriber",1963,1
165,"2021-01-01 00:14:03.6140","2021-01-01 00:16:49.5880",3351,"E 102 St & 1 Ave",40.7869946,-73.94164802,3424,"E 106 St & Lexington Ave",40.791976,-73.945993,37672,"Subscriber",1991,1
1343,"2021-01-01 00:14:04.4700","2021-01-01 00:36:27.9510",3773,"Knickerbocker Ave & Thames St",40.70539,-73.92976,3101,"N 12 St & Bedford Ave",40.72079821,-73.95484712,41720,"Subscriber",1971,2
892,"2021-01-01 00:14:06.9320","2021-01-01 00:28:59.5160",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,402,"Broadway & E 22 St",40.7403432,-73.98955109,33103,"Subscriber",1992,2
1328,"2021-01-01 00:14:16.3640","2021-01-01 00:36:24.6130",3773,"Knickerbocker Ave & Thames St",40.70539,-73.92976,3101,"N 12 St & Bedford Ave",40.72079821,-73.95484712,33993,"Subscriber",1971,1
250,"2021-01-01 00:14:17.6360","2021-01-01 00:18:28.4020",340,"Madison St & Clinton St",40.71269042,-73.98776323,150,"E 2 St & Avenue C",40.7208736,-73.98085795,49924,"Subscriber",1986,1
3484,"2021-01-01 00:14:27.0010","2021-01-01 01:12:31.8400",497,"E 17 St & Broadway",40.73704984,-73.99009296,4058,"Madison Av & E 51 St",40.75863,-73.97513,43637,"Subscriber",1959,1
483,"2021-01-01 00:14:29.7700","2021-01-01 00:22:33.3620",445,"E 10 St & Avenue A",40.72740794,-73.98142006,3905,"4 Ave & E 12 St",40.732647,-73.99011,28836,"Subscriber",1970,2
1171,"2021-01-01 00:14:30.1440","2021-01-01 00:34:01.3420",161,"LaGuardia Pl & W 3 St",40.72917025,-73.99810231,497,"E 17 St & Broadway",40.73704984,-73.99009296,25681,"Subscriber",1990,1
1512,"2021-01-01 00:14:30.2560","2021-01-01 00:39:42.6890",3549,"Grand Ave & Bergen St",40.678045,-73.962408,3340,"Wolcott St & Dwight St",40.6753274,-74.0100698,40129,"Subscriber",1996,1
731,"2021-01-01 00:14:33.5040","2021-01-01 00:26:44.9310",4072,"W 48 St & Rockefeller Plaza",40.75793646243674,-73.97960275411606,3641,"Broadway & W 25 St",40.74286877312112,-73.98918628692627,42865,"Subscriber",1978,2
